"YEAR","CASEID","SERIAL","REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","DAY","WT06","AGE","SEX","RACE","HISPAN","ASIAN","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK"
2023,20230101231688,88,3,13,2,1,0,1,0,999,2,1,1,1,2456874.681134000,79,1,100,100,999,1,43,5,99,999,99,9999,99999.99,1,77,2,100,100,40,3,999,99999.98,1,1,0,25,30,0,65,45,694,581,0,0,0
2023,20230101231710,89,3,6,1,1,0,1,0,999,1,1,1,1,2109920.724576000,77,1,110,100,999,6,21,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,1,0,0,0,0,40,250,610,540,0,0,0
2023,20230101231717,90,4,11,3,1,0,1,0,999,3,1,1,3,15873831.22172600,60,1,100,100,999,1,30,1,0,999,1,60,2218.0,1,58,2,100,100,30,3,999,99999.98,1,1,0,0,10,0,5,35,275,530,10,0,575
2023,20230101231726,91,4,6,1,2,0,1,0,999,1,1,1,1,2567814.534515000,70,1,100,210,999,3,11,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,120,120,335,690,75,100,0
2023,20230101231738,92,3,16,4,1,0,1,0,999,4,1,1,3,19312897.98887300,58,1,131,100,10,1,32,1,0,999,1,40,1538.46,1,55,2,131,100,32,4,999,99999.98,1,0,0,0,0,0,35,0,375,590,0,0,440
2023,20230101231739,93,4,13,6,1,1,1,4,0,2,1,1,1,4903134.262401000,41,1,202,210,999,1,41,1,0,999,1,40,2000.0,1,38,2,202,210,41,3,999,99999.98,1,1,182,0,0,0,300,80,180,590,0,108,0
2023,20230101231742,94,3,15,3,1,1,1,1,17,2,1,1,1,6740411.464751000,55,2,110,100,999,5,41,1,0,999,1,40,2384.61,3,999,99,9999,9999,999,99,999,99999.99,1,1,0,0,0,0,20,170,240,875,135,0,0
2023,20230101231744,95,4,12,1,1,0,1,0,999,1,1,1,1,1403535.524521000,80,1,100,210,999,3,30,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,70,5,705,525,0,135,0
2023,20230101231779,96,4,4,3,2,1,1,2,9,1,1,1,7,2448807.904780000,50,2,110,100,999,6,30,1,1,999,2,18,126.92,3,999,99,9999,9999,999,99,999,99999.99,2,1,250,0,0,0,30,300,150,590,0,0,120
2023,20230101231782,97,3,11,1,2,0,1,0,999,1,1,1,7,2064228.769326000,44,2,100,220,999,6,40,1,0,999,1,40,865.38,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,35,475,340,590,0,0,0
